ID,commune,sol_simple,pluie,taux_moyen,taux_med,pente_moy,tri_moy,tpi_moy,rug_moy,omb_moy,expo_moy,X,Y,nb_mesures,histo_banane,longitude,latitude,niveau_risque,nb_parcelles,taux_moy_commune,taux_med_commune,part_risque_eleve,risque_95
63367,SAINTE-MARIE,Nitisol,2000-3000,0.12079999999999999,0.1208,20.818093051598602,4.111033277474974,-0.1925454882856335,12.523470592435611,207.60422093020352,346.6080310203705,713077.1292709354,1635873.04408027,10,3,-61.02030265975156,14.788498030056834,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63368,SAINTE-MARIE,Nitisol,1500-2000,0.0005,0.0005,11.764747523226658,2.4531042191841808,-0.8319554293637812,8.11665908235321,192.3638407568615,129.18604328833194,714281.8274789284,1636512.98084288,12,1,-61.009061888820874,14.794184120867284,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63369,SAINTE-MARIE,Andosol,2000-3000,0.0136,0.0136,16.817956101183658,3.4916440982910166,0.2523353738050728,11.339523722138297,150.62235762050398,144.60266497840811,712299.7417670558,1632105.0603202276,18,1,-61.027829528494415,14.754512316113676,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63370,SAINTE-MARIE,Andosol,2000-3000,0.0047,0.0047,14.120541378950522,3.0301504098546097,-0.8311487687204023,9.448415308255967,197.27495865493935,296.058477126557,713089.8217455064,1630726.22270351,6,,-61.020605803559086,14.741990414556584,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63371,SAINTE-MARIE,Andosol,2000-3000,0.0005,0.0005,35.26973209714585,7.601560996156053,0.5296389654001274,24.649483539683125,113.51923320152525,147.95512904337124,711675.6366841587,1635441.429509405,4,,-61.03335354633097,14.784709311173687,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63372,LORRAIN(LE),Nitisol,2000-3000,0.1391,0.1391,28.92388609131485,6.0048851911486105,-1.0622289631019466,19.02089486530348,130.03976145193744,105.92108430071414,707459.3839199299,1640106.120376488,15,2,-61.072137478206706,14.827191076392264,modéré,175.0,0.5524048571428571,0.126,0.0,False
63373,LORRAIN(LE),Nitisol,2000-3000,0.0082,0.0082,16.621983428501316,3.864908687541589,2.1376770548317063,12.26390293670879,150.21043380229017,118.09608061280058,709231.0122512609,1639707.7050059529,7,2,-61.0557131155743,14.823452457538291,modéré,175.0,0.5524048571428571,0.126,0.0,False
63374,SAINTE-MARIE,Andosol,2000-3000,0.008,0.008,13.142904332733345,3.15645944730212,0.28093582904682,10.87541889460425,188.1291889460425,115.42034834169101,714496.1930811183,1633938.568503015,4,1,-61.007283288919794,14.77090478777104,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63375,SAINTE-MARIE,Andosol,2000-3000,0.0349,0.0349,16.738103814139585,3.2988658820351984,-0.7297715843900127,9.973597423098582,161.67713600954843,79.45269620204613,714531.9498297544,1633944.2474894673,7,1,-61.006950776456875,14.77095323620798,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63376,SAINTE-MARIE,Nitisol,2000-3000,0.0185,0.0185,16.377790066036,3.40374047964648,0.5781343287932368,10.775867389825327,197.797397595953,76.56632380307548,716678.4802686295,1632218.1029024376,4,,-60.98716133097902,14.755183187692642,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63377,GROS-MORNE,Andosol,2000-3000,0.0005,0.0005,24.473157926865902,4.938127552362268,1.3519147895994785,14.786221521344,196.82226909239927,42.86292977562742,712586.6533573242,1628704.56418254,8,,-61.025442340630285,14.723762570174513,modéré,216.0,0.2699752314814815,0.00165,0.0,False
63378,GROS-MORNE,Andosol,2000-3000,0.0005,0.0005,27.201304183922602,5.39073016701341,-0.11888564939635489,15.9754485617489,206.047275771007,212.315951756189,712615.1084475225,1628750.89501215,4,,-61.025174384964714,14.724178964408017,modéré,216.0,0.2699752314814815,0.00165,0.0,False
